parameters_id,expectation_value/+/X,expectation_value/-/X,expectation_value/r/X,expectation_value/l/X,expectation_value/0/X,expectation_value/1/X,expectation_value/+/Y,expectation_value/-/Y,expectation_value/r/Y,expectation_value/l/Y,expectation_value/0/Y,expectation_value/1/Y,expectation_value/+/Z,expectation_value/-/Z,expectation_value/r/Z,expectation_value/l/Z,expectation_value/0/Z,expectation_value/1/Z,circuit_idx,job_id,expectation_value,initial_state,observable,parameter/0/0/amp,parameter/0/0/sigma,parameter/0/0/beta,parameter/1/0/amp,parameter/1/0/sigma,parameter/1/0/beta,parameter/1/1/amp,parameter/1/1/sigma,parameter/1/1/beta,parameter/2/0/amp,parameter/2/0/sigma,parameter/2/0/beta,parameter/2/1/amp,parameter/2/1/sigma,parameter/2/1/beta,parameter/2/2/amp,parameter/2/2/sigma,parameter/2/2/beta,parameter/3/0/amp,parameter/3/0/sigma,parameter/3/0/beta,parameter/3/1/amp,parameter/3/1/sigma,parameter/3/1/beta,parameter/3/2/amp,parameter/3/2/sigma,parameter/3/2/beta,parameter/3/3/amp,parameter/3/3/sigma,parameter/3/3/beta,job_idx,unique_id,counts/00,counts/01,counts/10,counts/11
0,0.974,-0.9433333333,-0.0153333333,0.022,0.016,0.01,0.0346666667,0.006,0.562,-0.522,-0.7853333333,0.8113333333,0.0393333333,-0.0093333333,0.806,-0.7673333333,0.5786666667,-0.5453333333,0,crs819dx484g008f2rv0,0.974,+,X,0.1131742372,8.8969982482,1.1322603222,0.951318121,5.9346207837,-1.1151712654,0.6346314225,6.3152152352,-1.0866392145,0.2519307563,4.7248894096,0.6176753945,0.5204818352,3.2836696836,-0.4794224681,0.4629498585,3.6803278928,-1.3986513291,0.4976984692,2.7923655161,-1.7175641927,0.8814575704,1.9102052876,0.0317516572,0.5177881405,1.248976431,-0.1174192896,0.3359334221,2.7759494889,0.389185029,0,0,45.0,36.0,2916.0,3.0
1,0.9606666667,-0.9393333333,-0.0733333333,0.0673333333,0.0853333333,-0.04,0.072,-0.0373333333,0.484,-0.448,-0.8333333333,0.842,0.0133333333,0.0033333333,0.8473333333,-0.808,0.4906666667,-0.47,18,crs819dx484g008f2rv0,0.9606666667,+,X,0.4356849806,8.1192074851,1.4950321662,0.1980651638,5.7842839165,-0.7535799749,0.9111419329,6.2518872266,1.0148762842,0.6481992119,3.703799367,-1.7207186037,0.3100241262,4.9037333769,-0.550309572,0.4806861978,4.1472629139,1.1123493592,0.8497294571,1.3203535885,-0.9151727489,0.0482206847,1.5936262487,-0.8328982704,0.8133574382,2.4220985631,0.8045650707,0.5335709578,1.9611847904,-0.9758918056,0,18,45.0,55.0,2896.0,4.0
2,0.9726666667,-0.9486666667,0.0006666667,0.0213333333,0.0046666667,0.0026666667,0.024,-0.0106666667,0.71,-0.692,-0.61,0.656,0.0106666667,-0.02,0.6853333333,-0.652,0.742,-0.6933333333,36,crs819dx484g008f2rv0,0.9726666667,+,X,0.1161586999,7.1493741157,-0.9126588669,0.8614648014,5.481138977,-0.4472461315,0.379588856,6.472229109,1.1905787091,0.7966498238,4.1918422892,-1.0582394601,0.2082225694,4.0604015188,-1.6855014806,0.3705426243,3.0687963668,-0.650653165,0.6213346504,2.8688405642,0.4875677693,0.0052183792,1.012939332,0.3400812731,0.712698696,1.2860078315,-1.9787466971,0.9882453337,2.0915412029,0.8461762672,0,36,36.0,38.0,2923.0,3.0
3,0.9693333333,-0.9466666667,-0.056,0.0933333333,0.0686666667,-0.0373333333,0.0853333333,-0.0553333333,0.2266666667,-0.2073333333,-0.9226666667,0.9413333333,0.058,-0.0153333333,0.948,-0.924,0.2266666667,-0.23,54,crs819dx484g008f2rv0,0.9693333333,+,X,0.647142905,7.1119529978,-0.5616449519,0.7186848096,5.4293904279,1.9257811465,0.5211515818,6.2208781559,-1.4475663836,0.0527213923,4.1111732174,0.4176709307,0.6895678494,3.5133191328,-1.5049338516,0.7940257096,4.531542314,-0.093702552,0.7979950648,1.4154873622,-0.9683607076,0.9403516765,2.7639899928,0.7951916631,0.2266573231,2.2901676852,1.0705779707,0.49995349,2.2320532975,-0.5422972302,0,54,50.0,39.0,2904.0,7.0
4,0.9673333333,-0.948,-0.0373333333,0.0086666667,0.04,0.0186666667,-0.0106666667,-0.016,0.5673333333,-0.554,-0.7746666667,0.7873333333,0.0233333333,0.0173333333,0.778,-0.7673333333,0.5586666667,-0.5566666667,72,crs819dx484g008f2rv0,0.9673333333,+,X,0.3768231261,7.704243588,-0.1221862711,0.8351932955,5.0655247389,-1.0391537624,0.5583523975,6.1623321543,0.3316973616,0.119895412,3.4201569922,1.6927118493,0.4431298712,4.1358175458,0.8811889715,0.6129992726,3.235848658,1.1958000623,0.1266244746,1.528354601,-0.9895319178,0.5681766668,1.7243712495,0.7848890959,0.6644909381,1.6725126177,1.2185512704,0.943753351,2.9660969109,-0.9500062306,0,72,49.0,45.0,2902.0,4.0
5,0.9706666667,-0.954,0.0053333333,0.0173333333,0.0446666667,0.0126666667,0.008,0.0153333333,0.7426666667,-0.7053333333,-0.5786666667,0.622,0.0073333333,0.0246666667,0.618,-0.5853333333,0.7493333333,-0.7306666667,90,crs819dx484g008f2rv0,0.9706666667,+,X,0.20969132,8.5271944405,-1.9072470544,0.4702872079,6.984371454,-1.9353878722,0.3073023283,5.6912203151,0.9908697091,0.8191479216,3.6621516022,0.2177424124,0.9333296151,4.2318913815,-0.3885314818,0.3260222534,3.7483231979,0.3828713749,0.6532853976,1.7002337306,-0.8937690626,0.1572135616,1.6541529759,0.1320622714,0.7808029687,2.8660911937,1.7032135995,0.9546093283,1.8551715693,-1.395792607,0,90,35.0,43.0,2921.0,1.0
6,0.974,-0.95,0.0566666667,0.0066666667,0.004,0.0473333333,0.0046666667,0.0253333333,0.9006666667,-0.9026666667,-0.3513333333,0.3613333333,0.01,0.03,0.3826666667,-0.314,0.9186666667,-0.898,108,crs819dx484g008f2rv0,0.974,+,X,0.3128910022,7.8385074204,1.8723897186,0.5001190522,5.7272085117,1.0099709597,0.1574931504,5.0893719879,-1.606727708,0.386744396,3.3992478143,-1.514431996,0.08833346,4.8385042321,1.6190967101,0.173583535,3.2756469622,-0.9168564398,0.6763084001,1.0538081813,1.1959207217,0.1379190663,2.7685023521,0.6130690317,0.1283133728,1.8745216884,1.5544594962,0.496664846,1.0924944109,0.2377994865,0,108,30.0,37.0,2931.0,2.0
7,0.9526666667,-0.944,-0.0686666667,0.1046666667,0.12,-0.0953333333,0.13,-0.0793333333,-0.0233333333,-0.0333333333,-0.9453333333,0.9706666667,0.1226666667,-0.08,0.972,-0.9366666667,0.0353333333,-0.0346666667,126,crs819dx484g008f2rv0,0.9526666667,+,X,0.9547617876,7.802979938,-0.3165131035,0.0102929328,6.5468567723,1.6978768434,0.2008532458,5.0560261411,0.002808996,0.4418743383,3.8842234575,-1.0911552295,0.48972244,4.7276221906,0.8074760473,0.6950216915,3.2855914612,0.8706709871,0.9558962826,2.0000606632,-0.7312847161,0.9454612785,2.5798449149,0.3210938382,0.1777286521,1.4112608756,1.9094019564,0.3061162533,1.5287446559,0.5919323302,0,126,40.0,69.0,2889.0,2.0
8,0.9733333333,-0.948,0.0033333333,0.058,0.0206666667,0.014,0.008,-0.0153333333,0.6453333333,-0.6193333333,-0.7133333333,0.7126666667,0.068,0.0126666667,0.7493333333,-0.7146666667,0.6513333333,-0.6313333333,144,crs819dx484g008f2rv0,0.9733333333,+,X,0.4831143301,7.3149123946,-1.5270777747,0.4004574142,6.3413743606,1.7155875757,0.6597062878,6.0882907569,0.7350544425,0.0829201306,4.7665405042,-0.9163227261,0.6127917585,4.842322933,-1.0829511058,0.2896751464,4.42778509,-1.1515799477,0.4994888256,2.2015246519,-1.4931882916,0.0952779851,1.4249223235,0.7460221171,0.6967859483,1.7016098123,1.1429027924,0.551087181,1.0477740442,0.7435144265,0,144,41.0,37.0,2919.0,3.0
9,0.9726666667,-0.954,-0.004,0.006,0.0233333333,-0.018,0.0313333333,-0.038,0.5193333333,-0.5026666667,-0.8046666667,0.8233333333,0.0306666667,0.0053333333,0.828,-0.822,0.502,-0.4986666667,162,crs819dx484g008f2rv0,0.9726666667,+,X,0.6953889981,7.0943866379,-0.6779836784,0.3982004269,6.3282260054,0.8719958353,0.0474587714,6.5247626973,0.0817502909,0.1732254979,3.6345712974,-0.5983395925,0.678237523,3.6841976015,-1.0116203087,0.9726345216,3.168083169,-0.585652326,0.0781013479,2.8206231822,-0.1647712811,0.5874306468,1.1579816839,-0.3893349877,0.2895153708,2.8216957521,-1.2689705284,0.1967801723,2.6785467037,-0.2528539179,0,162,51.0,37.0,2908.0,4.0
