parameters_id,expectation_value/+/X,expectation_value/-/X,expectation_value/r/X,expectation_value/l/X,expectation_value/0/X,expectation_value/1/X,expectation_value/+/Y,expectation_value/-/Y,expectation_value/r/Y,expectation_value/l/Y,expectation_value/0/Y,expectation_value/1/Y,expectation_value/+/Z,expectation_value/-/Z,expectation_value/r/Z,expectation_value/l/Z,expectation_value/0/Z,expectation_value/1/Z,circuit_idx,job_id,expectation_value,initial_state,observable,parameter/0/0/0/amp,parameter/0/0/0/sigma,parameter/0/1/0/amp,parameter/0/1/0/sigma,parameter/0/1/1/amp,parameter/0/1/1/sigma,parameter/0/2/0/amp,parameter/0/2/0/sigma,parameter/0/2/1/amp,parameter/0/2/1/sigma,parameter/0/2/2/amp,parameter/0/2/2/sigma,parameter/0/3/0/amp,parameter/0/3/0/sigma,parameter/0/3/1/amp,parameter/0/3/1/sigma,parameter/0/3/2/amp,parameter/0/3/2/sigma,parameter/0/3/3/amp,parameter/0/3/3/sigma,parameter/0/beta,job_idx,unique_id,counts/00,counts/01,counts/10,counts/11,created,running,finished
0,0.978,-0.9786666667,0.068,-0.0846666667,-0.0693333333,0.102,-0.0673333333,0.086,-0.182,0.2233333333,-0.9673333333,0.9566666667,-0.108,0.0726666667,0.9546666667,-0.9566666667,-0.1733333333,0.1986666667,0,cvkgts3w5350008xh8qg,0.978,+,X,0.7444567099,7.55011099,0.2979038262,5.8984304172,0.3532963901,6.8801585417,0.1684566441,4.8563293156,0.7640412211,3.4812494299,0.8452570228,4.7482903003,0.3147897386,2.2757032493,0.0195142562,2.0638131352,0.9070404013,1.6351629091,0.3591306142,1.2640781646,-1.3383943558,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
1,0.98,-0.9826666667,-0.012,0.0066666667,0.022,-0.0053333333,0.0506666667,-0.0093333333,0.0226666667,-0.028,-0.98,0.984,0.0346666667,-0.0433333333,0.9766666667,-0.9806666667,0.0186666667,0.0153333333,18,cvkgts3w5350008xh8qg,0.98,+,X,0.5262300807,7.2657895473,0.4415038243,5.0270451313,0.5386461662,6.7989561047,0.9272455797,3.7644150582,0.5498111548,4.2852329317,0.0456670689,4.4993162966,0.6075664706,2.2778428841,0.2447857645,2.1945282719,0.1268151251,1.4689493125,0.9617040552,1.1187709267,1.8245249072,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
2,0.98,-0.9746666667,0.0453333333,-0.0713333333,-0.0833333333,0.0493333333,-0.1,0.0566666667,0.116,-0.088,-0.976,0.9793333333,-0.08,0.0906666667,0.9806666667,-0.978,0.1113333333,-0.0706666667,36,cvkgts3w5350008xh8qg,0.98,+,X,0.618145819,7.2382764317,0.2311683712,5.0398611788,0.3660834356,5.2143204343,0.2142112918,3.042291994,0.378531955,4.9687421271,0.9562744069,3.7675904621,0.6480663472,1.2914902235,0.1794031635,2.2780703076,0.9138694275,2.9691511032,0.5516646208,1.8566529999,-1.6052468206,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
3,0.9833333333,-0.978,-0.0493333333,0.0466666667,0.0706666667,-0.0673333333,0.064,-0.06,-0.2813333333,0.3,-0.9533333333,0.9333333333,0.072,-0.0233333333,0.928,-0.9353333333,-0.2813333333,0.2646666667,54,cvkgts3w5350008xh8qg,0.9833333333,+,X,0.6413487617,8.16732805,0.1420490026,5.3448257314,0.71219533,5.3120831339,0.6842813214,3.875715448,0.5098108193,3.8713650038,0.8619437484,4.3655392642,0.9167398293,2.7418473595,0.5129148757,2.6825864583,0.7552653748,2.3994166769,0.5678979309,1.8782067936,1.6716640232,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
4,0.98,-0.982,0.044,-0.004,-0.0326666667,0.028,-0.022,0.05,0.1806666667,-0.1526666667,-0.9613333333,0.964,-0.0466666667,0.0406666667,0.9666666667,-0.9626666667,0.19,-0.1933333333,72,cvkgts3w5350008xh8qg,0.98,+,X,0.4110500959,8.7051277943,0.3649981603,5.2923104794,0.4900055704,6.8210730285,0.5057749219,3.5192704898,0.1093718127,3.1357888063,0.4009228486,3.9795906636,0.5920107155,2.8243269707,0.453819167,2.6257104011,0.8361453607,1.7914994475,0.1411622611,2.0757455707,-0.5673744947,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
5,0.9873333333,-0.974,-0.0206666667,0.0553333333,0.0046666667,-0.0126666667,0.0253333333,-0.026,-0.4633333333,0.48,-0.8733333333,0.8793333333,0.008,0.018,0.8866666667,-0.868,-0.474,0.4466666667,90,cvkgts3w5350008xh8qg,0.9873333333,+,X,0.4846785305,8.4527856253,0.9462442009,5.5969015444,0.5282696782,6.3117691386,0.8783553147,4.4386712771,0.8144817365,4.492644481,0.6877130996,3.7286594661,0.2861772179,1.0911547933,0.7995783071,2.9609977419,0.9709163287,1.321710628,0.3564958829,2.8866560902,0.9125080011,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
6,0.986,-0.9766666667,0.0273333333,-0.006,0.0013333333,0.0153333333,0.0126666667,-0.0286666667,0.124,-0.096,-0.97,0.972,0.006,0.0086666667,0.9793333333,-0.986,0.0966666667,-0.13,108,cvkgts3w5350008xh8qg,0.986,+,X,0.4660854891,7.0656418889,0.1124121734,5.1651281176,0.9542663347,6.195941037,0.249092325,4.6073210935,0.4965639887,3.5619000806,0.170799419,3.2795808538,0.9427022322,2.7108173501,0.8138837029,2.6289398564,0.1156448199,2.5764630668,0.8874532978,1.0464811142,0.5125021781,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
7,0.984,-0.98,-0.046,0.0486666667,0.0406666667,-0.0666666667,0.0226666667,-0.0186666667,-0.2946666667,0.326,-0.9326666667,0.9433333333,0.046,-0.0813333333,0.9366666667,-0.9293333333,-0.2873333333,0.2693333333,126,cvkgts3w5350008xh8qg,0.984,+,X,0.7898112926,8.0427575734,0.8104734082,5.5726497027,0.0009820225,6.5783667622,0.5227248271,4.9166587923,0.0057030835,3.3573312279,0.7145705638,3.7479151301,0.6578509001,2.5835924963,0.3785672603,1.574361025,0.2616043588,2.2877902614,0.7631526435,1.6145965436,1.5980469347,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
8,0.968,-0.96,0.1,-0.096,-0.1713333333,0.1886666667,-0.1226666667,0.1093333333,-0.51,0.516,-0.838,0.8393333333,-0.1853333333,0.1273333333,0.8473333333,-0.8393333333,-0.5006666667,0.4566666667,144,cvkgts3w5350008xh8qg,0.968,+,X,0.8221190156,8.8025785637,0.5108243814,6.8948355364,0.4532137853,6.7106019725,0.2779294246,4.8035857719,0.2069119464,4.1567179633,0.3963802231,4.8521755081,0.6195127163,1.0152996753,0.1333386388,2.9880368871,0.5340840712,1.6863625183,0.0526273687,2.1179887689,-1.983322314,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
9,0.9846666667,-0.9786666667,0.0013333333,0.0013333333,0.0166666667,-0.0093333333,-0.008,0.018,0.3013333333,-0.2926666667,-0.9353333333,0.9266666667,-0.0046666667,0.018,0.9313333333,-0.9293333333,0.3266666667,-0.3333333333,162,cvkgts3w5350008xh8qg,0.9846666667,+,X,0.0589643821,7.7140541275,0.5640088135,5.4740785377,0.9654386807,5.4444178543,0.7936665234,4.8282467522,0.7411332351,3.4391438326,0.3333187488,4.4478293517,0.2940410478,2.550382219,0.0157791344,2.9696715627,0.5401455446,1.8100040499,0.6619783239,2.8835985534,0.3358512115,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
